,会社名,給与,初年度年収
125,株式会社アクレット | 世界的メーカーと直接取引｜”多言語対応サイト”制作で実績多数,月給／20万円〜35万円 + 賞与年2回 ※経験、能力を考慮し、優遇いたします。 ※試用期間6ヶ月あり（期間…,300万円～650万円
126,株式会社アクレット | 【世界的メーカーと直接取引】「Drupal」に強い希少な制作会社！,月給／20万円〜35万円 + 賞与年2回 ※経験、能力を考慮し、優遇いたします。 ※試用期間6ヶ月あり（期間…,300万円～650万円
127,株式会社縁 | 土日祝の完全週休2日制で残業少なめ！賞与年3回支給,［経験者］月給22万円〜42万円+諸手当 ［未経験者］月給20万円〜27万円+諸手当 ※年齢、経験、能力を考…,不明
128,株式会社ウェルモ | 福岡県内で多教室展開！子どもの「療育」の専門施設を運営,月給20万円〜30万円＋賞与2回/年 ※経験・年齢・能力を考慮の上、優遇します。 ※資格に応じて給与は異な…,不明
129,株式会社アクレット | 【世界的メーカーと直接取引】「Drupal」に強い希少な会社！,月給／20万円〜35万円 + 賞与年2回 ※経験、能力を考慮し、優遇いたします。 ※前職給与を十分に考慮しま…,300万円～650万円
130,株式会社PPFパートナーズ | ★年間休日125日★残業月平均10時間★完全週休2日制★,月給40万円〜60万円 ※経験・年齢・能力・前職の給与などを最大限考慮の上、決定します。 ※上記給与には…,480万円～720万円
131,株式会社アイティジョイン | 会社独自のポイント制度あり｜将来は会社の一端を担う存在へ！,月給23万~50万円＋賞与年2回＋特別賞与 ※能力・年齢を十分に考慮して決定します。 ※上記には固定残業代…,300万円～600万円
132,岡山エフエム放送株式会社 | 【FM OKAYAMA 76.8】◎完全週休2日制◎アクセス良好◎転勤なし♪,月給20万円〜 ※年齢、経験、能力を考慮して当社規定により優遇します。 ※6か月の試用期間あり（待遇同…,不明
133,株式会社Ｓｈｅｌｔｅｒ | 2016年設立「デジタルハリウッド」「スパルタキャンプ」と提携,【経験者】 月給:29万円〜 【未経験者】 月給:23万円〜 ※経験・能力・スキル等を考慮の上、決定します…,320万円～480万円
134,株式会社ウイング | ◆完全週休2日 ◆有給休暇取得率100％ ◆20～30代活躍中！,・マネージャー／月給34万円以上 ・SV／月給27万円以上 ※経験・年齢を考慮の上、当社規定により優遇い…,不明
135,中央電工株式会社 | 官公庁(兵庫県・姫路市)・カネカ/関西電力などのパートナー企業,"月給／21万円〜26万9,900円 + 賞与年2回 + 諸手当 ※経験、能力を考慮し、優遇いたします。 ※試用期間３…",300万円～500万円
136,株式会社高木製作所 | 〔 トヨタ自動車と直取引 〕★明治23年創業の老舗メーカー！,★月給18万円以上＋時間外手当100%＋手当＋賞与年2回 ◎昨年度実績…5.1カ月分支給！ ※上記はあくまでも…,350万円～550万円
137,株式会社オールウィン | 事務代行(シェアード)事業を展開し、顧客企業の働き方改革を支援,月給20万円以上 ◎能力・経験に応じ、弊社規定に準じて決定 ◎試用期間あり（3か月・待遇変化なし）,不明
138,イーディーピーアシスタント株式会社 | 売上5期連続増益の安定企業◎正社員デビュー歓迎！転勤なし,月給20万円〜25万円 ※経験・能力等を考慮の上、決定いたします ※試用期間6ヶ月あり（期間中の待遇変更…,250万円～350万円
139,アンブレラ株式会社 | NEC・NTTデータ・富士通・日立製作所等大手クライアント案件多数,月給：24万円〜 ※前職給を保証します。 ※あくまでも上記は最低補償額になります。 ※経験・スキル・年…,280万円～700万円
140,株式会社クォンタムジャンプコンサルティング | 残業月平均10h以内 ☆ 年間休日120日以上 ☆ 正社員登用実績あり,月給30万円〜45万円＋残業代 ※あなたのご経験・能力・スキル等を最大限考慮し、決定します。 ※試用期…,360万円～600万円
141,滋賀テレコム株式会社 | JR大津駅徒歩7分の好立地,月給21万円〜25万円＋各種諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3カ月…,不明
142,株式会社アーネラ | 【占いコンテンツを軸に成長中】★産休・育休の取得実績あり,月給25万円+賞与（年2回） ※給与は経験・能力により決定します ※上記給与には固定残業代（35時間分）6…,不明
143,株式会社巴商会 | [創業111年]ボイラ・温水機のスペシャリスト企業★年休120日以上,"月給232,100円〜295,680円 ※上記給与額は固定残業代13時間分（21,100円〜26,880円）を含む ※超過分は追…",不明
144,株式会社エビス | #賞与年2回 #土日祝休 #20～30代男性活躍中！,月給24万円〜30万円 + 諸手当 + 賞与年2回 ※経験・能力を考慮の上、当社規定により決定。 ※試用期間3…,350万円～550万円
145,株式会社インコス | 創業30周年を迎え更なる飛躍を目指して増員募集！,"月給23万〜55万円 ※経験・能力を考慮の上、決定します。 ★入社祝金制度あり/入社3ヶ月後20,000円支給 …",270万円～320万円
146,株式会社テムコ | (株)協和エクシオのパートナーとして盤石基盤のもと安定成長中！,月給：20万円〜30万円 ＋ 家賃補助 2万円 ※経験・年齢・スキル等に応じる場合もあります。 ※試用期間6…,不明
147,株式会社サプライ | (SUPPLY)【Change & Challengeを続けるIT企業】◆テレワークあり,"月給:24万5,000円〜55万3,000円＋諸手当（残業代100％支給）＋賞与年3回（6月・12月・3月） ※経験や能…",380万円～770万円
148,株式会社WITS | ◆未経験OK◆リモートワーク7～8割◆土日祝休み◆WEB面接実施中,月給:20万円〜50万円 + 賞与2回 + 各種手当 ※経験・能力・スキル等を考慮の上、決定します。 ※試用期…,300万円～700万円
149,ボイズ株式会社 | 【大人気の薬院エリア】▼年休120日(土日祝)▼昇給チャンス年4回,"◇月給235,000円〜 + インセンティブ ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、優…",350万円～550万円
150,株式会社メイギビルド | 【MEIGIホールディングス】,【有資格者】月給35万円〜 【経験者】月給30万円〜＋手当 【未経験者】月給23万円〜＋手当 ※経験・能力…,不明
151,株式会社Alice | 直取引8割以上＆有名案件豊富！,月給28万円以上 ※経験やスキルを考慮の上で決定いたします。 ※上記月給には45時間分の固定残業手当（6…,不明
152,株式会社オールウィン | 事務代行（シェアード）事業を展開中｜大阪府緊急雇用対策に賛同,月給20万円以上 ◎能力・経験に応じ、弊社規定に準じて決定 ◎試用期間あり（3か月・待遇変化なし）,不明
153,株式会社ウッドヴェル | ＼ 成長著しいベンチャー企業で活躍！ ／ ☆男女ともに活躍中！,"▼入社1ヶ月目 月給 300,000円以上 ＋ インセンティブ ＋ 諸手当 ▼2ヶ月目以降 月給 200,000円以上 ＋ …",不明
154,株式会社ベネフィット・ワン | 「2020年 健康経営優良法人ホワイト500」選出☆東証一部上場企業,月給26万円〜 ※経験や能力を考慮の上、決定いたします。 ※上記に加え、年間10万円相当分のカフェテリ…,不明
155,株式会社エム・ソフト | ★誰もが知る大手企業と取引多数 ★東証一部上場キヤノン出資,月給24万円以上 ※年齢、経験やスキルを考慮の上決定します。,380万円～550万円
156,株式会社アバランチ | 賞与年3回／休日制度も充実！☆大阪府緊急雇用対策に賛同,月給22万円以上＋諸手当＋賞与（年2回） ★前職給与を考慮し決定いたします　 ★待遇条件の詳細について…,不明
157,株式会社エム・ソフト | ◎最先端技術 & 独自の特許技術 & 豊富な案件で成長を後押し,月給24万円以上 ※年齢、経験やスキルを考慮の上決定します。,380万円～550万円
158,ONE.BRIDGE 株式会社 | 経験０でもしっかり学べる！いつの間にか不安が自信に。,月給 20万円〜＋諸手当＋インセンティブあり ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月…,不明
159,株式会社エース | 様々な個性のモデルが活躍するモデル事務所／女性スタッフ活躍中,月給20万円〜 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間6ヶ月あり（待遇変動なし） 【…,300万円～400万円
160,株式会社アバランチ | リモートワークあり／賞与年3回☆大阪府緊急雇用対策に賛同,月給24万円以上＋諸手当＋賞与（年2回） ★前職給与を考慮し決定します。 ★待遇条件の詳細については、…,不明
161,株式会社アバランチ | リモートワークあり／賞与年3回☆大阪府緊急雇用対策に賛同,月給25万円以上＋諸手当＋賞与（年2回） 　 ★前職給与を考慮し決定します ★待遇条件の詳細については、…,不明
162,ONE.BRIDGE 株式会社 | ★年休120日（完休二日制）／オフィスは岡山市中心部の好立地！,月給 16万円〜＋諸手当＋インセンティブあり ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月…,不明
163,日本通信機器株式会社 | 横浜支店｜多彩な分野のお客様と取引で安定した経営基盤,◆月給20万円~29万円+賞与年2回+インセンティブ ※インセン額はその月の評価により上限はなく支給。 ※経…,不明
164,株式会社情報技術センター | 年休125日◆残業月20H以内◆8/21マイナビ転職フェア出展@品川,月給21万円〜35万円＋残業代別途支給＋賞与年3回（5.5ヶ月分） ※上記の金額はあくまで最低保証金額です…,300万円～600万円
165,株式会社ベネフィット・ワン | 【東証1部上場企業/パソナグループ】新サービス本格展開スタート,月給25万円以上 ※経験や能力を考慮の上、決定いたします。 ※上記に加え、年間30万円相当分のカフェテ…,400万円～700万円
166,日本通信機器株式会社 | 福利厚生抜群＆アクセス抜群,◆月給17万5000円〜24万円+ 能力給＋業績給 ※年齢・経験・能力を考慮の上、優遇いたします ※試用期間2…,不明
167,株式会社アム・ネット | 残業少なめ★年休122日★産育休制度や時短勤務制度あり◎,固定給制　月給29万3700円以上 ※月30時間分、5万5700円の固定残業手当含む。30時間を超える時間外労働…,350万円～550万円
168,株式会社アスカネット | 【東証マザーズ上場】デジタル画像処理で全国TOPクラスのシェア,■月給:20万円＋各種諸手当 ※スキル・経験・年齢などを考慮のうえ、優遇いたします ※試用期間中（3ヶ…,不明
169,株式会社 ハスコムモバイル | 《札幌／ショップスタッフ募集》★未経験の育成実績豊富★,"月給 16万8,000円〜 ※大卒／月給 18万8,000円〜 ※短大・専門学校卒／月給 17万8,000円〜 <試用期間> 3…",250万円～310万円
170,株式会社クォンタムジャンプコンサルティング | ★完全週休2日／産休育休の実績あり／正社員登用の実績多数★,月給21万円〜33万円 ※経験・能力・スキル等を考慮し、決定します。 ※試用期間6ヶ月（期間中の待遇は、…,252万円～400万円
171,株式会社キョーショー | 先輩社員も未経験から活躍中！努力はボーナスで最大限評価します,"【未経験者の場合】月給：20万円〜32万6,000円 【経験者の場合】月給：23万円〜50万円 ※経験・スキルに…",300万円～580万円
172,株式会社エヌディエスリース | 【NDSグループ】リース・レンタル事業で成長を続ける安定企業,"月給189,000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり。待遇の…",不明
173,株式会社エヌディエスリース | 【NDSグループ】リース・レンタル事業で成長を続ける安定企業,"月給189,000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり。待遇の…",不明
174,株式会社TSSソフトウェア | 東京勤務【残業少／土日祝休み／有給平均取得13日】※経験者優遇,"月給：231,400円〜271,400円+諸手当 ※経験・年齢・能力を考慮の上、決定します。 ※試用期間2ヶ月あり…",450万円～550万円
175,株式会社アイオス | ◆東証一部上場企業・クレスコグループ◆年間休日125日,月給／27万円〜52万円 + 賞与（4.5ヶ月分／前年度実績） ※前職給与・経験・能力・スキル等を考慮し、決…,350万円～750万円
176,株式会社古原建設 | ＜100年以上続く安定企業＞清水寺や京都御所にも貢献しています,"月給23万7,800円〜64万8,600円 ※年齢やスキル、経験によって考慮します ※固定残業代10時間（1万7,800…",不明
177,株式会社イフ | 業界内で存在感をもつパイオニア企業/完全週休2日/年間休日122日,"◆月給／26万1,250円以上 ※年齢、能力、経験等を考慮の上、優遇いたします ※試用期間3ヶ月 （その間の…",350万円～450万円
178,株式会社サンレック | 【創業50年以上】東海トップクラスのコンクリートメーカー！,"月給200,000円〜+諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あり（期…",300万円～350万円
179,株式会社イフ | 業界内で存在感をもつパイオニア企業です！,◆月給25万6500円以上 ※能力、経験等を考慮の上、優遇いたします ※試用期間3ヶ月 （その間の給与・待…,350万円～420万円
180,NTT西日本ビジネスフロント株式会社 | 【NTT西日本グループ】★完全週休2日制・年間休日120日以上★,"【大阪】 月給21万7,000円+インセンティブ 【愛知】 月給20万1,750円+インセンティブ 【石川、広島、福…",不明
181,NTT西日本ビジネスフロント株式会社 | 【NTT西日本グループ】★完全週休2日制・残業月12時間程度！★,"【大阪】 月給21万7,000円+インセンティブ 【京都、奈良、滋賀、兵庫、愛知】 月給20万1,750円+インセン…",不明
182,株式会社エクシオモバイル | 【東証一部上場／協和エクシオグループ】研修体制充実★賞与2回,"【大学卒】月給203,600円以上 【大学院卒】月給207,000円以上 【短大卒・専門学校卒・高専卒】月給189,20…",350万円～650万円
183,株式会社エクシオモバイル | 【東証一部上場／協和エクシオグループ】研修体制充実★賞与2回,"【大学卒】月給203,600円以上 【大学院卒】月給207,000円以上 【短大卒・専門学校卒・高専卒】月給189,20…",350万円～650万円
184,株式会社エイチ・エル・シー | ★住宅手当・家族手当など手当充実 ★年休日125日/残業月20h程度,月給20万円〜26万円+各種手当 試用期間3ヶ月（給与は上記と同じです） 【モデル月収例】 月収27.5万円…,350万円～450万円
185,共立建設株式会社 | 【設立65年】NTT関連の総合建設会社で安定性◎年間休日120日以上,"月給240,000円〜331,000円＋諸手当 ※上記はあくまでも最低保証です ※年齢、経験、能力を考慮の上、優…",450万円～650万円
186,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,年俸500万円〜1000万円 ※経験等を考慮して決定いたします。 ※試用期間6ヶ月あり（その間の待遇変更な…,500万円～1000万円
187,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,年俸400万円〜800万円 ※経験等を考慮して決定いたします。 ※試用期間6ヶ月あり（その間の待遇変更なし…,400万円～800万円
188,株式会社ランネット | 【独自システム構築で、システム面からさまざまな業界に貢献！】,"大卒 月給　205,000円以上＋諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…",不明
189,株式会社ボードウォーク | 会員数800万人超の電子チケットサービス『ticket board』を運営,"月給282,546円〜494,507円 ※試用期間6ヶ月（同条件） ※固定残業代（79,196円〜138,607円／40時間分）…",400万円～700万円
190,株式会社リベロ | 新生活をサポートする業界注目の自社サービスで安定成長を実現！,月給／25万円〜34万2000円＋賞与年2回 ※経験、スキルや年齢などを考慮のうえ、決定いたします。 ※上記…,350万円～478万円
191,株式会社リベロ | 新生活をサポートする業界注目の自社サービスで安定成長を実現！,月給／34万3000円〜42万8000円＋賞与年2回 ※経験、スキルや年齢などを考慮のうえ、決定いたします。 ※…,480万円～600万円
192,NTTデータフォース株式会社 | ◆年間休日126日 ◆有給消化率92.9％,月給／26万円〜32万円＋賞与年2回 ※各種手当、通勤費は規定により別途支給いたします。 ※経験を考慮の…,500万円～620万円
193,株式会社ハウスクリエイト二十一 | ★年間休日120日以上　★月給23万円～45万円スタート！,月給23万円〜45万円 ※スキルを考慮して、決定します。,不明
194,株式会社エーアイネット・テクノロジ | 《NTTグループなど大手企業と取引》《定着率92％》,月給22万円〜32万円＋各種手当＋賞与 ★賞与実績4.5か月分！,350万円～500万円
195,株式会社スタイルワン | 【大手企業と多数取引】完全週休2日★服装自由★20～30代活躍中,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～360万円
196,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～360万円
197,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜350,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～420万円
198,株式会社エーアイネット・テクノロジ | 《NTTグループなど大手企業と取引》《定着率92％》,月給22万円〜32万円＋各種手当＋賞与 ★賞与実績4.5か月分！,350万円～500万円
199,株式会社スタイルワン | 【大手企業と多数取引】★完全週休2日/年休120日以上/賞与年2回,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～360万円
200,株式会社エーアイ | <東証マザーズ上場>★pepper、マツコロイドの声を作る成長企業！,■月給25万円〜（一律手当含む） ※経験・能力を考慮し、決定します ※試用期間3ヵ月あり（期間中の待遇…,300万円～800万円
201,株式会社リベロ | 新生活をサポートする業界注目の自社サービスで安定成長を実現！,"月給／270,000円〜342,000円＋賞与年2回 経験やスキル、年齢などを考慮して給与を決定し、 以下いずれか…",不明
202,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",300万円～360万円
203,太洋電機産業株式会社 | 残業月平均15h／完全土日祝休み／有資格者は優遇,月給23万円〜38万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月（その間の給…,525万円～750万円
204,株式会社エーアイ | <東証マザーズ上場>★pepper、マツコロイドの声を作る成長企業！,■月給25万円〜（一律手当含む） ※経験・能力を考慮し、決定します ※試用期間3ヵ月あり（期間中の待遇…,300万円～800万円
205,日本総合システム株式会社 | 【コロナ禍でも増収増益見込み】☆残業月10h☆男性の育休実績有,月給23万円〜 ※経験・能力を考慮し、当社規定により決定致します。,450万円～700万円
206,株式会社ティ・シー・シー | 《 天満屋グループ 》実質年休115日以上可／賞与実績3.54ヶ月分,"月給 172,750 〜 332,465円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試…",450万円～550万円
207,日本総合システム株式会社 | アサヒ飲料、サントリー、明治…など大手顧客への導入実績多数！,月給26万円〜 ※経験・能力を考慮し、当社規定により決定致します。,550万円～750万円
208,有限会社中部携帯電話サービス | ★研修制度充実　★資格取得支援制度・時短勤務制度あり,月給21万円以上＋各種手当（皆勤手当 月1万円　ほか） ※上記は最低支給額です。あなたの経験・年齢・前…,不明
209,株式会社アクロウェーブネット | ソフトウェア、インフラ開発事業を担当★中途入社社員多数在籍,月給 25万円〜42万円 上記額は固定残業代含む（月／10時間分：2万円〜6万円） ※超過分は別途支給 経験等…,300万円～500万円
210,フォーグローブ株式会社 | プライム案件が全体の7割／年間休日123日／リモートワーク対応,"月給　450,000円　〜　670,000円 ※経験・年齢・能力などを考慮の上、決定します。 ※上記には、月40時間…",540万円～800万円
211,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,〈月給〉 ■未経験者：25万円〜40万円＋賞与年2回＋残業代全額支給 ■経験者：30万円〜前職給与を原則保…,350万円～720万円
212,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,〈月給〉 ■未経験者：25万円〜35万円＋賞与年2回＋残業代全額支給 ■経験者：30万円〜前職給与を原則保…,350万円～720万円
213,フォーグローブ株式会社 | プライム案件が全体の7割／年間休日123日／リモートワーク対応,"月給　250,000円　〜　660,000円 ※経験・年齢・能力などを考慮の上、決定します。 ※上記には、月40時間…",300万円～800万円
214,株式会社リベロ | 新生活をサポートする業界注目の自社サービスで安定成長を実現！,"月給／343,000円〜392,000円＋賞与年2回 ※経験やスキル、年齢などを考慮して決定 ※上記給与には下記手…",480万円～548万円
215,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,〈月給〉 ■未経験者：25万円〜35万円＋賞与年2回＋残業代全額支給 ■経験者：30万円〜前職給与を原則保…,350万円～720万円
216,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,〈月給〉 ■未経験者：25万円〜35万円＋賞与年2回＋残業代全額支給 ■経験者：30万円〜前職給与を原則保…,350万円～720万円
217,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,"年俸420万円〜960万円 ※月額：350,000円〜800,000円(以下固定残業手当を含む) ※基本給：258,959円〜59…",420万円～960万円
218,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,"年俸400万円〜550万円 ※固定残業手当：85,839円〜117,053円（固定残業時間45時間0分/月）を含む ※超過…",400万円～550万円
219,株式会社天公システム | 中国のビジネス展開に精通した人材を擁するコンサルティング企業,年俸300万円〜500万円 ※経験年数、能力により面接したうえで相談していきます。 ※試用期間6ヵ月（同条…,不明
220,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,"年俸450万円〜1100万円 ※固定残業手当： 96,243円〜236,706円 （固定残業時間45時間0分/月）を含む ※…",450万円～1100万円
221,株式会社ミナト設備企画設計 | 誰もが知るランドマークや多くの方が利用する有名施設に携わる,"月給285,000円〜500,000円 ※試用期間3ヶ月（待遇は同じです）",400万円～700万円
222,株式会社ネクサスウィング | ◆年休120日／完全週休2日制(土日)／賞与年2回／在宅勤務も！,月給25万円〜35万円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（その間の待遇変動な…,380万円～500万円
223,株式会社ミナト設備企画設計 | 誰もが知るランドマークや多くの方が利用する有名施設に携わる,"月給285,000円〜500,000円 ※試用期間3ヶ月（待遇は同じです）",400万円～700万円
224,株式会社ネクサスウィング | ◆年休120日／完全週休2日制(土日)／賞与年2回／在宅勤務も！,月給25万円〜35万円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（その間の待遇変動な…,380万円～500万円
225,株式会社パーフェクション | 【仕事に全集中！】職場環境・福利厚生が充実した職場！,"月給250,000円〜400,000円＋歩合給 ※試用期間2ヶ月　※待遇変更なし ※経験・スキルを考慮して優遇しま…",336万円～500万円
226,アイコムシステック株式会社 | 東証1部企業グループ★残業代全額支給★賞与前年実績5.2ヵ月分,【月給】36万円以上 ※前職給与保証します ※さらに年齢、経験、スキルを考慮します ※試用期間：2ヵ月(…,400万円～1000万円
227,株式会社DearOne | <NTTドコモグループ>オンオフの両立ができる制度多数／年休130日,"【月給33.3万円〜50.6万円】 ※月30時間分みなし残業手当（63,000円〜)含む ※超過分は別途支給いたしま…",399万円～607万円
228,株式会社ティ・シー・シー | 【天満屋グループ】問屋町テラスを手掛けた総合プロデュース企業,"月給 321,760 〜 450,460円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試…",500万円～700万円
229,株式会社ティ・シー・シー | 【天満屋グループ】問屋町テラスを手掛けた総合プロデュース企業,"月給 450,460 〜 579,160円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試…",700万円～900万円
230,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
231,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
232,株式会社システム総研 | ◆土日祝休み ◆資格取得祝金あり ◆有給取得を奨励！消化率80％,〈月給〉25万円以上 ＋ 各種手当 ＋ 賞与 ※経験・スキル・年齢を考慮のうえ決定します。 ※試用期間2…,350万円～500万円
233,株式会社DearOne | NTTドコモの戦略グループ会社◆フレックスタイム制,月給37万円〜 ※適性・経験等を考慮し、当社規定により決定いたします。 ※試用期間3ヵ月あり(期間中の…,444万円～800万円
234,株式会社DearOne | 【NTTドコモのグループ会社】■年休130日,月給：34万円〜81.5万円 ※適性・経験等を考慮し、当社規定により決定いたします。 ※試用期間3ヶ月あり…,408万円～978万円
235,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】206,000円〜412,000円 ＜予定年収＞ 350万円〜700万円(残業手当：有) ※前職での経験や能力を考…",350万円～700万円
236,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
237,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜58万円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します。 ※…",350万円～1000万円
238,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
239,株式会社NTTファシリティーズ | ICT活用を通じ、効率的かつ環境負荷の低い建物の運営を実施,月給：20万円〜25万円（別途残業手当） 《想定年収》 250万円〜300万円を想定しております。,250万円～300万円
240,株式会社ケイケンシステム | 独立系ソフトウェア開発企業◆駅チカ好立地◆残業月平均20h程度,月給21万〜50万円 ＋ 諸手当 ※経験、資格、能力等を考慮の上、優遇します。 ※試用期間3ヶ月（給与変動…,280万円～650万円
241,株式会社システム・プラウド | 【設立以来無借金経営】NTTデータなど大手企業と継続的に取引！,"月給　23.1万円〜28万円 固定残業代（20時間分）27,160円〜33,780円含む 20時間を超える分は別途支給 …",277万円～330万円
