,会社名,給与,初年度年収
27,ＷＡＳＨハウス株式会社 | 【 東証マザーズ上場 】宮崎発の先進企業★全国で633店舗を展開,月給20万円〜 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※月給には固定残業代（23時間／3…,不明
28,株式会社アーキ・ジャパン | 1年目の平均月収28万円/年休120日【大阪府緊急雇用対策に賛同】,◆月給24万1760円〜(一律支給の手当含む)/関東・関西・中部圏 ◆月給21万2020円〜(一律支給の手当含む)/…,350万円～750万円
29,EGライフデザイン株式会社 | 【大阪府緊急雇用対策に賛同】未経験OK／完全週休2日／年休122日,【東京】 ◆月給23万円以上 【大阪】 ◆月給22万円以上 ※いずれも経験・スキル・年齢に応じて優遇しま…,不明
30,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
31,株式会社ワールドコンストラクション | 東証一部上場ワールドホールディングス・グループ,■月給28万円〜 ★経験1年以上で月給30万円保証 ★経験5年以上で平均月給50万円 ★残業手当は、全額別途…,不明
32,"株式会社NTTデータ四国 | 《株式会社NTTデータグループ》最先端の技術で""世界""と繋がる！","月給19万1,870円〜＋諸手当 ※上記はあくまで最低保証額であり、 年齢、経験、能力等を考慮し算出します…",350万円～600万円
33,アイコムシステック株式会社 | 東証1部企業グループ★残業ほぼナシ★賞与前年実績5.2ヶ月分,【月給】36万円以上 ※前職給与保証します ※さらに年齢、経験、スキルを考慮します ※試用期間：2ヵ月(…,400万円～1000万円
34,株式会社アイエム | 最先端技術を学び「市場価値の高い人材」にスキルアップ可能,■月給30万円〜45万円＋残業代＋各種手当＋賞与2回 ※経験・スキル・年齢を考慮の上、決定します。,400万円～700万円
35,株式会社エムテック | ◆毎年増収増益中の安定企業 ◆残業月15ｈ＆完全土日休み,■月給30〜50万円＋残業代全額支給＋賞与年2回 ※前職の年収を基本に経験・スキル・希望を考慮したうえで…,450万円～750万円
36,ライオン交通株式会社 | つばめタクシーグループ,以下のいずれかをご希望により選択できます。 【2勤務1休制】 月給26万円〜+各種手当+成果給 ※固定残…,500万円～600万円
37,株式会社システムイオ | MITホールディングス（東証JASDAQ上場）グループ,【経験者】 月給22万円〜40万円＋賞与年2回＋諸手当（残業代全額など） ※スキル、経験、前職給与を考慮…,300万円～550万円
38,NTTデータカスタマサービス株式会社 | NTTデータグループの一員として官公庁・金融系・大企業等と取引,月給29万円〜45万円 【月収例】 月収37万円＝月給29.5万円+時間外手当4.2万円+住宅補助費3.3万円 ※経験…,450万円～700万円
39,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2～5月は売上前年比”125％以上”,月給20万円以上＋インセンティブ(歩合)＋シフト手当＋営業手当 ★平均月収45万9809円（月給25万円） 【…,300万円～500万円
40,シモハナ測量設計株式会社 | 【広島シェアトップクラス企業】利益10％は社員還元！賞与年3回,"■月給250,000円〜+各種諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇…",400万円～450万円
41,布施通信工業株式会社 | 取引先は大手有名企業/マイナビ転職経由で入社した若手が活躍中,月給23.5万円〜31.7万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3〜6ヶ月あり(期間中…,350万円～500万円
42,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,"◆月給208,000円以上＋各種手当・報奨金 ※前職給与や経験・スキルなどを考慮し加給・優遇します。 ※上…",250万円～450万円
43,株式会社ジャパンネット | 《 14期連続増収増益！》コロナ渦の影響をうけることなく躍進中,"★月給265,000円以上（一律手当含む）＋賞与2回 ※経験・能力を考慮し給与額を決定します。 ※インセンテ…",400万円～600万円
44,株式会社アウトソーシングテクノロジー | #手に職をつける#将来の可能性を広げる#業績好調#WEB面接可,◇月給20万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…,280万円～600万円
45,株式会社フルマークス | ★新しい技術をビジネスにつなげる会社です！,月給36万円〜80万円 ※上記金額には、月20時間分（4万9000円〜10万9000円）の固定残業代を含みます。 　…,540万円～1200万円
46,データアナリティクスラボ株式会社 | Start up×IT×English◆住宅・資格手当あり◆年間休日120日以上,◇データアナリスト経験者／月給30万円以上 ◇未経験者／月給19万5000円以上 ※経験・スキルなどを考慮…,不明
47,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
